item_name,item_price,store,date,item_des,item_cat
Black Bitter (แบล็ก บิทเทอร์),33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,A Litter Bit Bitter
Zebra Choco (ซีบร้า ช็อกโก),33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,A Litter Bit Bitter
Rocky Cookie (ร็อคกี้ คุกกี้),33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,A Litter Bit Bitter
Black Sprinkle (แบล็ก สปริงเกิ้ล),33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,A Litter Bit Bitter
<เบอร์รี่ เลิฟ! โดนัทเบอร์รี่ 6 ชิ้น 129.->,129,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,เลือกโดนัท 6 ชิ้นจาก พอน เดอ ริง สตรอเบอร์รี่ / พอน เดอ ริง บลูเบอร์รี่ / สตรอเบอร์รี่ ริง / สตรอเบอร์รี่ เชลล์ / บลูเบอร์รี่ เชลล์,โปรลับ GrabFood
<สายช็อกห้ามพลาด! ช็อกโกแลต โดนัท 10 ชิ้น 189.->,189,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ช็อกโกแลต 4 ชิ้น / ช็อกโกแลต ริง 4 ชิ้น / ช็อก พีนัท 2 ชิ้น,โปรลับ GrabFood
<อร่อยซ่ากับโค้ก Set 1 โดนัท 2 ชิ้น + โค้ก 55.->,55,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ไวท์ ช็อกโกแลต 1 ชิ้น / ช็อกโกแลต ริง 1 ชิ้น และ โค้ก 1 กระป๋อง,โปรลับ GrabFood
<อร่อยซ่ากับโค้ก Set 2 โดนัท 4 ชิ้น + โค้ก 99.->,99,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 1 ชิ้น สตรอเบอร์รี่ ริง 1 ชิ้น ฮันนี่ ดิป 1 ชิ้น บาวาเรียน เชลล์ 1 ชิ้น และ โค้ก 1 กระป๋อง,โปรลับ GrabFood
<อร่อยซ่ากับโค้ก Set 3 พอน เดอ ริง 4 ชิ้น + โค้ก 99.->,99,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,พอน เดอ ริง ไวท์ ช็อก 1 ชิ้น / พอน เดอ ริง ช็อก 1 ชิ้น / พอน เดอ ริง เกลซ 1 ชิ้น / พอน เดอ ริง สตรอเบอร์รี่ 1 ชิ้น และ โค้ก 1 กระป๋อง,โปรลับ GrabFood
<อร่อยซ่ากับโค้ก Set 4 โดนัท 6 ชิ้น + โค้ก 139.->,139,Mister Donut (มิสเตอร์ โดนัท) - เทสโก้ โลตัส พระราม 1,2023-06-18 01:53,ช็อกโกแลต ริง 2 ชิ้น สตรอเบอร์รี่ ริง 2 ชิ้น ฮันนี่ ดิป 1 ชิ้น บาวาเรียน เชลล์ 1 ชิ้น และ โค้ก 1 กระป๋อง,โปรลับ GrabFood
